"Age","Employment.Type","GraduateOrNot","AnnualIncome","FamilyMembers","ChronicDiseases","FrequentFlyer","EverTravelledAbroad","TravelInsurance"
26,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes","Yes"
30,"Private Sector/Self Employed","No",1450000,5,0,"Yes","Yes","Yes"
32,"Government Sector","Yes",9e+05,4,0,"No","No","No"
26,"Private Sector/Self Employed","Yes",1400000,7,0,"No","Yes","Yes"
34,"Private Sector/Self Employed","No",1400000,3,1,"No","Yes","Yes"
34,"Private Sector/Self Employed","Yes",1500000,5,1,"Yes","Yes","Yes"
29,"Private Sector/Self Employed","Yes",1100000,8,0,"No","No","No"
28,"Private Sector/Self Employed","Yes",1100000,6,1,"No","No","No"
33,"Government Sector","Yes",7e+05,6,1,"No","No","Yes"
29,"Private Sector/Self Employed","Yes",1200000,3,1,"No","Yes","Yes"
29,"Private Sector/Self Employed","Yes",5e+05,3,0,"No","No","Yes"
31,"Private Sector/Self Employed","Yes",1350000,3,0,"No","Yes","Yes"
30,"Private Sector/Self Employed","No",550000,8,0,"No","No","No"
27,"Government Sector","Yes",5e+05,5,0,"No","No","No"
26,"Government Sector","Yes",5e+05,6,1,"No","No","No"
28,"Private Sector/Self Employed","Yes",1100000,5,0,"No","No","No"
34,"Government Sector","Yes",1300000,5,1,"No","No","No"
28,"Private Sector/Self Employed","Yes",1100000,4,0,"Yes","No","No"
25,"Private Sector/Self Employed","No",1150000,4,1,"No","No","No"
34,"Private Sector/Self Employed","Yes",7e+05,3,0,"No","No","No"
28,"Private Sector/Self Employed","Yes",8e+05,4,0,"No","No","No"
29,"Private Sector/Self Employed","Yes",9e+05,7,0,"No","No","Yes"
27,"Government Sector","Yes",850000,4,0,"No","No","No"
33,"Government Sector","Yes",1750000,6,0,"No","No","Yes"
31,"Government Sector","Yes",1500000,5,1,"Yes","Yes","Yes"
28,"Private Sector/Self Employed","Yes",750000,2,0,"No","No","Yes"
25,"Private Sector/Self Employed","No",6e+05,4,1,"Yes","No","No"
35,"Private Sector/Self Employed","No",8e+05,4,1,"No","No","No"
31,"Government Sector","Yes",4e+05,3,0,"No","No","No"
31,"Government Sector","No",3e+05,4,0,"No","No","No"
25,"Private Sector/Self Employed","No",1150000,8,0,"Yes","No","No"
28,"Private Sector/Self Employed","Yes",1150000,4,0,"No","No","No"
31,"Private Sector/Self Employed","Yes",1350000,3,0,"Yes","Yes","Yes"
28,"Private Sector/Self Employed","Yes",1200000,6,1,"No","No","No"
33,"Private Sector/Self Employed","Yes",550000,5,1,"No","No","No"
28,"Private Sector/Self Employed","Yes",550000,5,0,"No","No","No"
32,"Government Sector","Yes",350000,6,0,"No","No","No"
28,"Private Sector/Self Employed","Yes",750000,3,1,"No","No","No"
28,"Private Sector/Self Employed","Yes",750000,3,0,"No","No","No"
27,"Government Sector","Yes",1050000,7,0,"No","No","Yes"
27,"Government Sector","Yes",1050000,2,0,"No","No","No"
25,"Private Sector/Self Employed","Yes",1400000,3,0,"Yes","Yes","Yes"
25,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes","Yes"
28,"Private Sector/Self Employed","Yes",8e+05,5,1,"No","No","No"
31,"Government Sector","Yes",1200000,7,1,"No","No","No"
34,"Private Sector/Self Employed","Yes",5e+05,4,0,"No","No","No"
29,"Private Sector/Self Employed","Yes",6e+05,3,1,"No","No","No"
28,"Government Sector","Yes",1200000,3,0,"No","No","Yes"
34,"Private Sector/Self Employed","No",750000,3,0,"Yes","No","No"
