"label","text"
2,"안방 스탠드가 나이트 모드로 되어있니"
2,"미얀마 체감온도가 몇도니"
2,"경부 고속도로 내 소통 원활한 구간은 어떨까"
2,"오늘 지진 진도 몇이었어"
2,"낯선 사람에게 말을 거나요 이유는요"
2,"티비 이전 채널이 뭐였니"
2,"다음주 중에 있는 일정들을 알려줘"
2,"대구역 앞 일식집은 어떻게 간데"
2,"이번 주 일정을 알려주겠니"
2,"다음주 월요일에 안개가 얼마나 심한지 알려줄수있니"
2,"어제 눈이 얼마나 왔니"
2,"오늘 집 평균 온도는"
2,"내일 어그부츠 신어도 되니"
2,"물과 성령으로 거듭나면 어디에 들어갈 수 있나요"
2,"오늘 가장 더운 지역이 어디인지 검색해줘"
2,"어제 베이징 날씨 어땠니"
2,"동생 이사하는 날이 언제인지 아니"
2,"오늘 온 편지 중 첨부 파일이 든 편지 몇 통일까"
2,"소비자 보호원에 대한 뉴스를 모두 보여라"
2,"세차하기에 오늘이 좋은지 내일이 좋은지 알아봐줘"
2,"교통 흐름이 나아졌는지 파악해주련"
2,"정수기 필터 교체 일정이 언제니"
2,"이번주에 비 언제온대"
2,"오븐 전원이 꺼져있는지 확인해줘"
2,"나의 발표 언제일까"
2,"오늘 미세먼지 농도가 몇시부터 정상이 되는지 알려줘"
2,"저번 달에 비가 가장 많이 온 날이 언젠지 알려줘"
2,"오늘 내 상사에게서 메일이 왔니"
2,"서울에서 라식수술 잘하는 안과는 어떻게 가냐"
2,"오늘 밤 축구 모임 참석자가 누구니"
2,"오늘 온 메일 몇 갠지 알려줘"
2,"이번주의 강수량 확인해줘"
2,"여자가 주로 바르고 남자가 즐겨 먹는 것은"
2,"오늘 온 메일 중 안읽은 메일이 있니"
2,"언제까지 눈이오니"
2,"내일 비 올 확률 보여줄래"
2,"인류 최초의 뜨거운 연인은"
2,"농구 대잔치에 관한 기사 찾아볼래"
2,"교수님께서 너에게 메일 보냈는지 확인했니"
2,"면접관에게 하고 싶은 말이 있나요"
2,"화장실 불 켜져있니"
2,"다음주 중에 제일 안 더운 날이 언제니"
2,"토요일 집안 대청소 일정 추가했니"
2,"내일 여자친구 몇시에 만나니"
2,"해외 송금 아무 은행에서나 가능한 거니"
2,"밖에 비 오니"
2,"다음주 화요일 제주도 날씨 알 수 있을까"
2,"다음달 출장 일정에 대해 확인해"
2,"롯데타워 미팅이 무슨 요일이지"
2,"김포공항 진입로 보여라"
2,"저번주 목요일에 날씨가 어땠었지"
2,"화장실에 가면 소변과 대변 중 어느 것이 먼저 나올까"
2,"참내 야 이연희 미친 완전 돌았구나 그래서 선밴 뭐랬어"
2,"점심 몇 시에 하실 거예요 "
2,"세미나는 잘 다녀오셨어요"
2,"다음주 제일 추운날이 언제인지 확인해봐"
2,"매달 넷 째주 토요일 봉사활동 일정 추가해도 될까"
2,"어젯밤 새 메일 중 알림 이메일을 찾니"
2,"내일 최고 기온 알려줘"
2,"내가 쓴 메일함에 편지가 있니"
2,"내일 일교차 심한지 검색해줘"
2,"주식부자와 부동산 부자와 어떤 차이가 있나요"
2,"우리 시험 끝나면 뭐하고 놀까 "
2,"조금 뒤에 있을 세미나 올 거지"
2,"제일 최근에 온 메일은 언제 온 것이니"
2,"오늘 저녁에 눈이 오는지알려줘"
2,"메일에 이력서 들어온 것 있나 확인해줘"
2,"저녁에 바람이 얼마나 부는지 알려줘"
2,"다음달에 동창회 있었니"
2,"오븐 예열준비가 다 됐니"
2,"내일 미용실 예약 몇시에 했는지 아니"
2,"갈아타는 곳은 어디에요"
2,"도봉도서관에 침묵 책 있는지 확인해"
2,"동해의 습도는 어떤지 아니"
2,"화요일 아르바이트 몇시니"
2,"오늘 눈의 신적설 알려줄래"
2,"골프연습장이 어디가 괜찮지"
2,"실내 온도가 현재 몇도이니"
2,"올해 처음 눈이 내일 예상일을 알려줘"
2,"전기 다 차단되어 있니"
2,"안방 가서 급탕 스위치 끄니"
2,"세탁기가 얼마나 돌았지"
2,"오늘 온 편지 중 첨부 파일 든 편지는 얼마나 된데"
2,"로봇청소기가 작동하고있니"
2,"상은 상인데 오른 쪽에 있는 상의 이름은 무엇인가"
2,"이번 주 태풍오니"
2,"내일 축구경기 일정이 있니"
2,"차단된 메일이 있는지 확인해줘"
2,"토요일 도봉산 주변 지역 날씨 어때"
2,"제주도 일월 날씨 어떻니"
2,"요즘 건강은 어때"
2,"이학기 중간고사 시작일이 언제니"
2,"오늘의 구름이 언제 사라질지 알려줘"
2,"오늘저녁 만나기로 한 사람이 누구니"
2,"용량이 큰 메일을 삭제했니"
2,"이번주 비소식 있는지 검색해줘"
2,"내일 대구 낮에 몇도까지 오르니"
2,"오늘 회의 시간 알려줘"
2,"이번주에 강수 확률이 팔십프로 넘는 날이 있니"
2,"다음주 맑은날이 언제인지 아니"
2,"내일도 오늘만큼 덥니"
2,"오전에 온 메일이 있니"
2,"니가 불렀어"
2,"요즘 스위스 날씨는 어떻니"
2,"이번주 토요일 제주도 날씨 아니"
2,"보고서 발표 준비는 확실히 마무리 했니 "
2,"자사주를 고가로 매입했다는데 왜 일까 "
2,"이번주 레슨 무슨 요일에 있니"
2,"다음주 무슨요일에 대회일정이니"
2,"서울 근교 놀이공원은 어디냐"
2,"올해 추석은 시월에 있니"
2,"지금 세탁기가 돌아가고 있는지 알고 있니"
2,"주말은 좀 그렇고 월요일은 어때"
2,"다음주에 눈 오는 날 알려줘"
2,"내일 특별한 일정 있어"
2,"환기가 필요한 곳이 어디야"
2,"학교에서 온 메일들 다 지워졌니"
2,"왜 모두 은행에 다니면 이자부터 묻는 걸까 "
2,"방금 온 메일 첨부파일 몇 개야"
2,"여자친구 생일이 언제니"
