"sex","age","Pstatus","Fedu","Medu","guardian","studytime","traveltime","failures","famrel","freetime","absences"
"F",18,"A",4,4,"mother",2,2,0,4,3,6
"F",17,"T",1,1,"father",2,1,0,5,3,4
"F",15,"T",1,1,"mother",2,1,3,4,3,10
"F",15,"T",2,4,"mother",3,1,0,3,2,2
"M",16,"T",3,4,"mother",2,1,0,5,4,10
"M",16,"T",2,2,"mother",2,1,0,4,4,0
"F",17,"A",4,4,"mother",2,2,0,4,1,6
"M",15,"A",2,3,"mother",2,1,0,4,2,0
"M",15,"T",4,3,"mother",2,1,0,5,5,0
"F",15,"T",4,4,"mother",2,1,0,3,3,0
"F",15,"T",1,2,"father",3,3,0,5,2,4
"M",15,"T",4,4,"father",1,1,0,4,3,2
"M",15,"T",3,4,"mother",2,2,0,5,4,2
"M",15,"A",2,2,"other",3,1,0,4,5,0
"F",16,"T",4,4,"mother",1,1,0,4,4,4
"F",16,"T",4,4,"mother",3,1,0,3,2,6
"F",16,"T",3,3,"mother",2,3,0,5,3,4
"M",17,"T",2,3,"mother",1,1,3,5,5,16
"M",16,"T",3,4,"father",1,1,0,3,1,4
"M",15,"T",3,4,"mother",2,1,0,4,4,0
"M",15,"T",4,4,"father",1,1,0,5,4,0
"M",16,"T",2,4,"mother",2,1,0,4,5,2
"M",16,"T",2,2,"mother",2,2,0,5,4,0
"F",15,"T",4,2,"mother",3,1,0,4,3,2
"F",16,"T",2,2,"mother",1,1,2,1,2,14
"M",15,"T",2,2,"mother",1,1,0,4,2,2
"M",15,"T",2,4,"mother",1,1,0,2,2,4
"M",16,"A",4,3,"mother",2,1,0,5,3,4
"M",16,"T",4,4,"mother",2,1,0,4,4,16
"M",15,"T",4,4,"mother",2,1,0,5,4,0
"M",15,"T",3,4,"mother",2,1,0,4,5,0
"M",16,"T",2,3,"mother",1,1,0,5,4,0
"F",15,"T",3,2,"father",1,2,0,3,5,0
"M",15,"T",3,4,"mother",3,1,0,5,4,2
"M",16,"A",4,4,"mother",3,2,0,2,4,7
"F",15,"T",4,3,"mother",3,1,0,4,3,2
"F",15,"T",2,2,"mother",1,1,0,4,3,8
"F",16,"T",2,2,"mother",2,2,1,3,3,25
"M",15,"T",4,4,"other",1,1,0,5,4,8
"M",15,"T",4,4,"father",2,1,0,4,3,2
"M",15,"T",2,2,"father",1,1,0,5,4,0
"F",16,"T",2,2,"father",2,2,1,4,3,14
"F",15,"A",3,4,"mother",2,1,0,5,2,8
"F",16,"A",3,3,"mother",2,1,0,2,3,12
"M",16,"T",3,4,"mother",4,1,0,4,2,4
"M",15,"T",2,4,"mother",2,1,0,4,3,2
"F",15,"T",4,4,"father",2,1,1,4,4,2
"F",16,"T",2,2,"mother",2,3,0,4,3,2
